"","","","","base population","","","","","","","","","","","undercounts","","","","","","","","","","","","undercount %","","","","","","","","","",""
"NAME","REGION","DIVISION","STATE","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total"
"Alabama","3.0","6.0","1.0","3245949.0","1345097.0","42529.0","91695.0","225966.0","304826.0","792164.0","782508.0","1213378.0","1826565.0","4919441.0","-26709.0","29781.0","50.0","377.0","4591.0","14876.0","-3901.0","4814.0","19869.0","-28207.0","7451.0","Alabama","-0.008228410243044484","0.022140410691570942","0.001175668367466905","0.0041114564589127","0.020317215864333573","0.0488016114111001","-0.004924485333845012","0.006152013781328753","0.016374946636579863","-0.015442647811602653","0.0015146029802979646"
"Alaska","4.0","9.0","2.0","470919.0","34885.0","121760.0","66378.0","54185.0","54997.0","128535.0","126861.0","195757.0","229311.0","735461.0","-2259.0","918.0","416.0","353.0","1047.0","2411.0","-1160.0","393.0","2632.0","-3989.0","287.0","Alaska","-0.004797003306301084","0.026315035115379103","0.003416557161629435","0.005318027057157492","0.01932269078158162","0.04383875484117315","-0.00902477924300774","0.0030978787807127484","0.013445240783215925","-0.01739558939606037","0.00039023143307394953"
"Arizona","4.0","8.0","4.0","4019478.0","426839.0","403763.0","320382.0","2336873.0","443606.0","1204152.0","1203159.0","1811755.0","2645036.0","7307708.0","-31497.0","11032.0","2393.0","1554.0","45018.0","22705.0","-1879.0","11152.0","34308.0","-41256.0","25030.0","Arizona","-0.007836092149279085","0.025845810715515685","0.005926744154367785","0.004850459763657135","0.01926420477278825","0.05118280636420607","-0.0015604342308944386","0.009268932867559483","0.01893633521088668","-0.015597519277620419","0.0034251505396767357"
"Arkansas","3.0","7.0","5.0","2226347.0","491263.0","38632.0","70261.0","247821.0","198816.0","513022.0","487611.0","753014.0","1100320.0","3052783.0","-14404.0","11954.0","169.0","562.0","5126.0","9505.0","-2700.0","2895.0","11496.0","-18198.0","2998.0","Arkansas","-0.006469791097254831","0.024333198307220368","0.004374611720853179","0.007998747527077611","0.020684284221272612","0.04780802349911476","-0.005262932193941001","0.005937109704251955","0.015266648428847273","-0.016538825069070815","0.0009820547349746118"
"California","4.0","9.0","6.0","15033317.0","2845872.0","759107.0","6816221.0","15915080.0","2477977.0","6523494.0","6806274.0","10914677.0","13325709.0","40048131.0","-59158.0","74941.0","6621.0","36184.0","349991.0","137561.0","21725.0","89193.0","261280.0","-127184.0","382575.0","California","-0.0039351262266338165","0.026333229323033502","0.008722090561673123","0.005308513324318563","0.021991155558124746","0.05551342889784691","0.003330270557465064","0.013104526793955107","0.02393840880495135","-0.009544257645127925","0.009552880258007546"
"Colorado","4.0","8.0","8.0","4019381.0","303044.0","108377.0","243222.0","1269927.0","346780.0","921983.0","994513.0","1635474.0","1928726.0","5827476.0","-23665.0","7458.0","675.0","997.0","24025.0","15947.0","-5636.0","5908.0","24490.0","-33149.0","7560.0","Colorado","-0.005887722512496327","0.024610287614999803","0.006228258763390756","0.004099135768968268","0.01891841027082659","0.04598592767749005","-0.006112910975581979","0.005940596050529254","0.014974252112843128","-0.017186992864720026","0.0012973026401138332"
"Connecticut","1.0","1.0","9.0","2380102.0","471159.0","25624.0","198099.0","618000.0","186192.0","542939.0","577172.0","873329.0","1412617.0","3592249.0","-22949.0","11195.0","164.0","912.0","12935.0","8919.0","-2761.0","3019.0","14669.0","-23854.0","-8.0","Connecticut","-0.009642023745200836","0.02376055641513799","0.006400249765844521","0.004603758726697257","0.02093042071197411","0.047902165506573856","-0.005085285824006012","0.005230676470792069","0.016796648227643877","-0.016886388879646785","-2.227017113791388e-06"
"Delaware","3.0","5.0","10.0","614899.0","240145.0","7840.0","46049.0","96276.0","57057.0","148805.0","149812.0","235888.0","395717.0","987279.0","-6345.0","5030.0","32.0","143.0","1665.0","2776.0","-699.0","878.0","3843.0","-6616.0","182.0","Delaware","-0.01031876779763831","0.020945678652480794","0.004081632653061225","0.0031053877391474297","0.017294029664713946","0.048653101284680235","-0.004697422801653171","0.005860678717325715","0.016291629926066607","-0.016719018894816244","0.00018434505342461452"
"District of Columbia","3.0","5.0","11.0","281117.0","330667.0","5323.0","38273.0","81462.0","48099.0","87579.0","157439.0","234567.0","192161.0","719845.0","1470.0","8918.0","75.0","572.0","2095.0","2806.0","924.0","2461.0","6211.0","299.0","12701.0","District of Columbia","0.005229139468619828","0.02696973087728742","0.014089798985534472","0.014945261672719671","0.025717512459797205","0.05833801118526373","0.010550474428801426","0.01563145091114654","0.0264785754176845","0.0015559869068125167","0.01764407615528343"
