"","","","","base population","","","","","","","","","","","undercounts","","","","","","","","","","","","undercount %","","","","","","","","","",""
"NAME","REGION","DIVISION","STATE","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total"
"Alabama","3.0","6.0","1.0","3245949.0","1345097.0","42529.0","91695.0","225966.0","304826.0","792164.0","782508.0","1213378.0","1826565.0","4919441.0","-12489.0","41369.0","444.0","868.0","6593.0","17243.0","-215.0","7817.0","26540.0","-15511.0","35874.0","Alabama","-0.0038475650726490155","0.030755402770209137","0.010439935103106117","0.00946616500354436","0.029176955825212642","0.056566697066523196","-0.000271408445725885","0.009989674226972759","0.02187282116537468","-0.00849189599056152","0.00729229194943084"
"Alaska","4.0","9.0","2.0","470919.0","34885.0","121760.0","66378.0","54185.0","54997.0","128535.0","126861.0","195757.0","229311.0","735461.0","-412.0","1198.0","1481.0","724.0","1549.0","2824.0","-555.0","850.0","3630.0","-2504.0","4245.0","Alaska","-0.0008748850651598258","0.03434140748172567","0.012163272010512484","0.010907228298532646","0.028587247393189998","0.05134825535938324","-0.004317890068852841","0.006700246726732408","0.018543398192657223","-0.010919668049068732","0.005771890011842912"
"Arizona","4.0","8.0","4.0","4019478.0","426839.0","403763.0","320382.0","2336873.0","443606.0","1204152.0","1203159.0","1811755.0","2645036.0","7307708.0","-14918.0","14396.0","5667.0","3236.0","65932.0","26430.0","4624.0","16470.0","44912.0","-23220.0","69216.0","Arizona","-0.003711427205224161","0.0337270024529155","0.014035461396908583","0.01010044259665025","0.028213771137755455","0.05957989747658959","0.00384004677150393","0.013688963802789158","0.024789223708503633","-0.008778708493948665","0.009471642818788052"
"Arkansas","3.0","7.0","5.0","2226347.0","491263.0","38632.0","70261.0","247821.0","198816.0","513022.0","487611.0","753014.0","1100320.0","3052783.0","-5438.0","15962.0","499.0","921.0","7190.0","10909.0","-626.0","4396.0","15161.0","-11289.0","18551.0","Arkansas","-0.002442566230690903","0.03249176103227803","0.012916752950921515","0.013108267744552454","0.02901287622921383","0.05486982938998873","-0.0012202205753359505","0.009015383164038547","0.020133755813304934","-0.010259742620328631","0.0060767502963689195"
"California","4.0","9.0","6.0","15033317.0","2845872.0","759107.0","6816221.0","15915080.0","2477977.0","6523494.0","6806274.0","10914677.0","13325709.0","40048131.0","-8471.0","96694.0","12431.0","68257.0","462330.0","156040.0","50794.0","114235.0","315911.0","-40829.0","596151.0","California","-0.0005634817652019179","0.03397693220215105","0.016375820536498806","0.010013906532666707","0.029049806849855607","0.06297072168143611","0.007786318190834544","0.01678377920136627","0.028943687476963357","-0.003063927030073972","0.014885863212942446"
"Colorado","4.0","8.0","8.0","4019381.0","303044.0","108377.0","243222.0","1269927.0","346780.0","921983.0","994513.0","1635474.0","1928726.0","5827476.0","-7560.0","9945.0","1564.0","2314.0","35603.0","18657.0","-1224.0","9220.0","32897.0","-20595.0","38955.0","Colorado","-0.001880886634036435","0.03281701667084648","0.014431106231026879","0.009513941995378708","0.028035469755348142","0.053800680546744334","-0.001327573284973801","0.009270869259627576","0.020114657891229088","-0.01067803306431292","0.0066847122150310015"
"Connecticut","1.0","1.0","9.0","2380102.0","471159.0","25624.0","198099.0","618000.0","186192.0","542939.0","577172.0","873329.0","1412617.0","3592249.0","-12301.0","15075.0","370.0","1905.0","17095.0","10307.0","-410.0","5034.0","19078.0","-14858.0","19151.0","Connecticut","-0.005168265897848075","0.031995568375007166","0.01443958788635654","0.009616403919252494","0.02766181229773463","0.05535683595428375","-0.0007551492893308456","0.008721836818140866","0.02184514655988751","-0.010518066822075622","0.005331200593277359"
"Delaware","3.0","5.0","10.0","614899.0","240145.0","7840.0","46049.0","96276.0","57057.0","148805.0","149812.0","235888.0","395717.0","987279.0","-3441.0","7139.0","102.0","389.0","2725.0","3253.0","130.0","1556.0","5256.0","-3796.0","6399.0","Delaware","-0.005596040975835056","0.029727872743550772","0.013010204081632653","0.008447523290408043","0.028304042544351656","0.057013162276320174","0.0008736265582473707","0.010386350893119376","0.022281760835650817","-0.009592713984994327","0.006481450532220375"
"District of Columbia","3.0","5.0","11.0","281117.0","330667.0","5323.0","38273.0","81462.0","48099.0","87579.0","157439.0","234567.0","192161.0","719845.0","2099.0","11357.0","110.0","700.0","2631.0","3155.0","1347.0","2894.0","7287.0","1671.0","16354.0","District of Columbia","0.007466642003151712","0.03434573150631905","0.020665038512117227","0.01828965589318841","0.032297267437578256","0.06559387929062974","0.015380399410817662","0.018381722444883414","0.031065750936832545","0.008695833181550887","0.02271877973730456"
"Florida","3.0","5.0","12.0","11738003.0","3853059.0","134990.0","758354.0","5821791.0","1186051.0","3132268.0","3176301.0","5417287.0","8944252.0","21856159.0","-50692.0","125471.0","1850.0","6111.0","157614.0","71973.0","16395.0","46214.0","148674.0","-55932.0","227324.0","Florida","-0.0043186221710796975","0.032563996554425975","0.0137047188680643","0.00805824192923094","0.027073112037172067","0.06068288800397285","0.005234226445502109","0.014549628640358707","0.02744436467922043","-0.00625340162598281","0.010400912621472053"
"Georgia","3.0","5.0","13.0","5643260.0","3596265.0","70239.0","524641.0","1082095.0","688694.0","1847428.0","1799031.0","2834217.0","3579448.0","10748818.0","-14165.0","116282.0","1125.0","4602.0","31803.0","41985.0","8536.0","26511.0","75314.0","-17696.0","134650.0","Georgia","-0.002510073964339761","0.03233410218657413","0.01601674283517704","0.00877171246623882","0.029390210656180835","0.060963214431953815","0.0046204777669278585","0.014736266356722035","0.026573124076243987","-0.0049437790407906475","0.01252695877816519"
"Hawaii","4.0","9.0","15.0","426813.0","42875.0","12625.0","839915.0","152756.0","92458.0","213787.0","215300.0","363793.0","525024.0","1410362.0","484.0","1557.0","195.0","7757.0","4544.0","5289.0","412.0","2319.0","8567.0","-3548.0","13039.0","Hawaii","0.0011339860782122381","0.036314868804664724","0.015445544554455445","0.009235458349952078","0.029746785723637696","0.0572043522464254","0.0019271517912688798","0.010771017185322805","0.023549106222494662","-0.006757786310721034","0.009245144154479489"
"Idaho","4.0","8.0","16.0","1509014.0","22673.0","35737.0","41665.0","235229.0","122673.0","338610.0","288771.0","452049.0","622994.0","1825097.0","-4077.0","738.0","433.0","474.0","6559.0","6063.0","-2296.0","1399.0","7124.0","-8597.0","3693.0","Idaho","-0.0027017641983440844","0.0325497287522604","0.012116294036992473","0.011376455058202327","0.0278834667494229","0.049424078648113275","-0.006780662118661587","0.004844669305435795","0.01575935352141029","-0.013799490845818739","0.002023454095864494"
"Illinois","2.0","3.0","17.0","7800762.0","1911066.0","90745.0","807461.0","2267453.0","784014.0","2048030.0","2052931.0","3283599.0","4540294.0","12708868.0","-27279.0","60362.0","1176.0","6567.0","63032.0","43622.0","612.0","21747.0","72869.0","-39435.0","99415.0","Illinois","-0.00349696606562282","0.03158551300687679","0.01295939170202215","0.008132900536372655","0.02779859163563699","0.055639312563296066","0.0002988237476990083","0.010593147066316403","0.022191808439459264","-0.00868556089099076","0.00782249056328227"
